base_1,43.118967237	,131.889649040	,114.216
1,43.025452577	,131.895595640	,44.850
2,43.025511469	,131.895668666	,44.177
3,43.025551260	,131.895614984	,43.721
4,43.025595927	,131.895641729	,43.442
5,43.025603112	,131.895653882	,43.252
6,43.025597256	,131.895704018	,43.326
7,43.025574907	,131.895745726	,43.781
8,43.025602630	,131.895772578	,43.454
9,43.025581225	,131.895791547	,43.680
10,43.025644545	,131.895796388	,43.172
11,43.025638538	,131.895864550	,43.287
12,43.025641977	,131.895860636	,43.376
13,43.025673908	,131.895908276	,42.927
14,43.025745523	,131.895852528	,42.148
15,43.025758291	,131.895848120	,41.958
16,43.025800699	,131.895919938	,41.555
17,43.025837067	,131.895915053	,41.174
18,43.025841622	,131.895902939	,41.132
19,43.025812405	,131.896005569	,41.324
20,43.025835541	,131.896007089	,40.945
21,43.025844423	,131.896062547	,40.363
22,43.025753581	,131.896154906	,41.970
23,43.025733772	,131.896063930	,42.689
24,43.025712034	,131.895938431	,42.501
25,43.025662998	,131.895984834	,43.073
26,43.025669584	,131.896063417	,43.112
27,43.025622224	,131.896142622	,43.735
28,43.025604385	,131.896141322	,44.008
29,43.025601087	,131.896162601	,44.141
30,43.025575730	,131.896085535	,44.210
31,43.025573609	,131.895973795	,44.155
32,43.025614947	,131.895897773	,43.427
33,43.025522673	,131.895813098	,44.388
34,43.025506495	,131.895779548	,44.404
35,43.025552840	,131.896117923	,44.539
36,43.025539977	,131.896192993	,44.818
37,43.025514413	,131.896128664	,44.845
38,43.025476270	,131.896206424	,44.953
39,43.025432257	,131.896109305	,45.782
40,43.025413612	,131.896124570	,45.887
41,43.025398152	,131.896092728	,45.926
42,43.025340688	,131.896098226	,46.711
43,43.025429138	,131.896022280	,45.559
44,43.025403697	,131.895975369	,45.966
45,43.025401860	,131.895973349	,45.973
46,43.025401026	,131.895969494	,46.039
47,43.025397030	,131.895968038	,46.017
48,43.025404643	,131.895915592	,45.691
49,43.025417473	,131.895854949	,45.761
50,43.025483692	,131.895810670	,44.832
51,43.025486193	,131.895820361	,44.777
52,43.025459734	,131.895719477	,44.886
53,43.025363435	,131.895756924	,46.180
54,43.025366526	,131.895831835	,46.185
55,43.025357441	,131.895887052	,46.337
56,43.025300404	,131.895881139	,47.014
57,43.025317663	,131.895940321	,46.821
58,43.025258157	,131.896045816	,47.711
59,43.025261768	,131.896051913	,47.881
60,43.025284144	,131.896121705	,47.362
61,43.025290100	,131.896119206	,47.335
62,43.025281146	,131.896162022	,46.848
63,43.025264519	,131.896159289	,47.214
64,43.025266988	,131.896175028	,46.828
65,43.025272892	,131.896196812	,45.735
